Name,Address,Reason for Closure,Date of Closure,Date Approved to Re-open
Patros Pizza,"2334 N. Charles St., 21218","Insufficient refrigeration, operating without a valid license",9/8/2026,9/10/2026
Brooklyn Mart,"817 E. Patapsco Ave., 21225","Insect infestation, rodent infestation",9/8/2026,9/11/2026
Adnan & Sedek LLC,"1201 E. Preston St., 21202","Insect infestation, rodent infestation, general unsanitary conditions",9/10/2026,9/14/2026
Weiss Deli,"1127 E. Lombard St., 21202","Rodent infestation, improper food handling, improper handwashing, general unsanitary conditions",9/14/2026,9/15/2026
New York Fried Chicken,"3141 W. North Ave., 21216","Insect infestation, repeat viollations, general unsanitary conditions",9/15/2026,9/17/2026
Aldi Inc #30,"3250 E. Fayette St., 21224",Fire,9/16/2026,9/16/2026
China Wok,"200 N. Highland Ave., 21224","Insect infestation, improper hand washing, general unsanitary conditions",9/16/2026,
Noor Food Mart,"1601 N. Wolfe St., 21213","Insect infestation, rodent infestation, general unsanitary conditions",9/17/2026,
El Jefe Food Truck,"6629 Reisterstown Rd., 21215","Operating without a valid license, improper food handling, general unsanitary conditions",9/21/2026,
Ellenikon Coffee Shop,"4907 Eastern Ave., 21224","Insufficient refrigeration, improper handwashing",9/21/2026,
China Star,"6717 Reisterstown Rd., 21215","Insect infestation, rodent infestation, improper food handling, general unsanitary conditons",9/22/2026,
